own_goals,own_position,opponent_goals,opponent_position,result,home_total_market_value,home_key_players,away_total_market_value,away_key_players,home_position_to_goal,away_position_to_goal,home_win_h2h,home_home_win,away_away_win,home_last_5_game_win,away_last_5_game_win
0,1.0,0,2.0,0,201450000.0,0.6,193625000.0,0.8,0.0,0.0,1.4,0.8,0.4,0.8,0.2
2,5.0,1,6.0,1,38625000.0,0.4,26975000.0,0.8,0.4,0.1666666666666666,0.8,0.6,0.4,0.0,0.2
1,19.0,1,12.0,0,20575000.0,0.4,34675000.0,0.6,0.0526315789473684,0.0833333333333333,0.0,0.2,0.4,0.2,0.2
2,9.0,2,8.0,0,27925000.0,0.6,31275000.0,0.8,0.2222222222222222,0.25,1.8,0.6,0.0,0.2,0.0
3,13.0,1,18.0,1,25125000.0,0.8,33225000.0,0.8,0.2307692307692307,0.0555555555555555,0.2,0.2,0.2,0.4,0.2
1,15.0,2,4.0,2,26750000.0,0.8,138725000.0,0.2,0.0666666666666666,0.5,0.4,0.6,0.4,0.2,0.2
0,7.0,0,12.0,0,26975000.0,0.6,25125000.0,0.4,0.0,0.0,1.6,0.6,0.4,0.2,0.4
1,4.0,3,9.0,2,138725000.0,0.4,27925000.0,0.4,0.25,0.3333333333333333,2.6,0.6,0.2,0.4,0.0
2,14.0,2,19.0,0,22325000.0,0.6,20575000.0,0.6,0.1428571428571428,0.1052631578947368,0.0,0.4,0.4,0.2,0.0
0,11.0,0,5.0,0,44200000.0,1.0,38625000.0,0.6,0.0,0.0,0.6,0.8,0.0,0.6,0.0
2,6.0,0,16.0,1,31275000.0,0.8,26750000.0,0.6,0.3333333333333333,0.0,0.4,0.8,0.0,0.4,0.0
1,17.0,0,15.0,1,33225000.0,0.6,24825000.0,0.6,0.0588235294117647,0.0,0.2,0.6,0.0,0.4,0.0
0,13.0,1,3.0,2,34675000.0,0.6,98875000.0,0.6,0.0,0.3333333333333333,0.0,0.2,0.6,0.2,0.4
3,2.0,0,18.0,1,193625000.0,0.4,26500000.0,0.8,1.5,0.0,2.6,0.8,0.0,0.6,0.0
1,20.0,5,1.0,2,7800000.0,1.0,201450000.0,0.6,0.05,5.0,0.0,0.4,0.8,0.2,0.4
1,8.0,3,10.0,2,29350000.0,0.6,20125000.0,0.4,0.125,0.3,1.4,0.6,0.4,0.4,0.2
1,16.0,1,12.0,0,25125000.0,0.8,34675000.0,0.6,0.0625,0.0833333333333333,1.2,0.4,0.2,0.6,0.2
0,8.0,4,4.0,2,31275000.0,0.8,138725000.0,0.4,0.0,1.0,0.0,0.8,0.4,0.6,0.2
0,19.0,1,5.0,2,20575000.0,0.6,26975000.0,0.8,0.0,0.2,0.0,0.2,0.4,0.0,0.0
0,9.0,3,14.0,2,27925000.0,0.4,44200000.0,0.8,0.0,0.2142857142857142,1.0,0.4,0.0,0.4,0.0
2,7.0,2,20.0,0,38625000.0,0.2,7800000.0,1.0,0.2857142857142857,0.1,0.4,0.6,0.0,0.2,0.0
4,10.0,1,6.0,1,24825000.0,0.6,29350000.0,0.4,0.4,0.1666666666666666,1.0,0.6,0.6,0.2,0.2
0,11.0,0,15.0,0,26750000.0,0.8,22325000.0,0.6,0.0,0.0,0.2,0.4,0.4,0.0,0.4
7,1.0,1,18.0,1,201450000.0,0.8,26500000.0,0.8,7.0,0.0555555555555555,2.2,0.6,0.0,0.8,0.0
2,3.0,1,17.0,1,98875000.0,0.6,33225000.0,0.6,0.6666666666666666,0.0588235294117647,0.2,0.6,0.2,0.6,0.2
1,13.0,1,2.0,0,20125000.0,0.2,193625000.0,0.6,0.0769230769230769,0.5,1.0,0.2,0.2,0.6,0.2
3,4.0,0,17.0,1,138725000.0,0.4,24825000.0,0.8,0.75,0.0,1.2,0.4,0.0,0.4,0.0
3,8.0,2,13.0,1,44200000.0,1.0,25125000.0,0.6,0.375,0.1538461538461538,1.2,0.6,0.4,0.6,0.4
3,12.0,1,10.0,1,34675000.0,0.4,27925000.0,0.4,0.25,0.1,0.8,0.0,0.2,0.0,0.2
1,14.0,1,19.0,0,26750000.0,0.4,20575000.0,0.8,0.0714285714285714,0.0526315789473684,0.2,0.2,0.2,0.0,0.0
1,5.0,0,6.0,1,31275000.0,0.8,38625000.0,0.4,0.2,0.0,0.2,0.8,0.0,0.4,0.0
2,15.0,0,11.0,1,33225000.0,0.6,20125000.0,0.4,0.1333333333333333,0.0,0.2,0.6,0.4,0.4,0.4
1,7.0,1,3.0,0,26975000.0,0.8,98875000.0,0.4,0.1428571428571428,0.3333333333333333,1.0,0.4,0.8,0.4,0.6
0,20.0,0,18.0,0,7800000.0,1.0,26500000.0,0.6,0.0,0.0,0.2,0.2,0.0,0.0,0.0
0,16.0,1,1.0,2,22325000.0,0.6,201450000.0,0.8,0.0,1.0,0.4,0.2,0.8,0.2,0.4
2,2.0,1,9.0,1,193625000.0,0.4,29350000.0,0.2,1.0,0.1111111111111111,2.6,0.8,0.6,0.4,0.0
1,6.0,1,12.0,0,38625000.0,0.4,34675000.0,0.4,0.1666666666666666,0.0833333333333333,0.4,0.4,0.2,0.2,0.0
4,19.0,0,4.0,1,20575000.0,1.0,138725000.0,0.4,0.2105263157894736,0.0,0.2,0.2,0.6,0.0,0.4
3,8.0,0,17.0,1,27925000.0,0.4,26750000.0,0.8,0.375,0.0,0.6,0.4,0.0,0.2,0.0
1,16.0,1,9.0,0,24825000.0,0.6,44200000.0,1.0,0.0625,0.1111111111111111,1.0,0.6,0.2,0.2,0.2
2,13.0,1,5.0,1,25125000.0,0.8,31275000.0,1.0,0.1538461538461538,0.2,0.8,0.2,0.0,0.4,0.0
2,11.0,2,14.0,0,20125000.0,0.6,22325000.0,0.6,0.1818181818181818,0.1428571428571428,0.8,0.2,0.4,0.4,0.2
1,1.0,1,15.0,0,201450000.0,0.8,33225000.0,0.4,1.0,0.0666666666666666,0.2,0.6,0.2,0.8,0.0
1,3.0,5,2.0,2,98875000.0,0.4,193625000.0,1.0,0.3333333333333333,2.5,1.6,0.6,0.2,0.6,0.0
1,18.0,1,7.0,0,26500000.0,0.6,26975000.0,0.8,0.0555555555555555,0.1428571428571428,1.0,0.4,0.4,0.2,0.2
0,10.0,1,20.0,2,29350000.0,0.6,7800000.0,1.0,0.0,0.05,0.4,0.4,0.0,0.0,0.0
1,16.0,1,12.0,0,26750000.0,0.8,25125000.0,0.8,0.0625,0.0833333333333333,0.4,0.2,0.4,0.0,0.0
0,4.0,0,7.0,0,138725000.0,0.4,38625000.0,0.4,0.0,0.0,0.4,0.4,0.0,0.6,0.0
3,17.0,2,8.0,1,20575000.0,1.0,27925000.0,0.4,0.1764705882352941,0.25,0.2,0.4,0.2,0.2,0.2
2,6.0,1,13.0,1,26975000.0,0.8,20125000.0,0.6,0.3333333333333333,0.0769230769230769,1.6,0.2,0.4,0.2,0.2
1,15.0,1,19.0,0,22325000.0,0.4,26500000.0,0.6,0.0666666666666666,0.0526315789473684,0.8,0.0,0.0,0.2,0.0
0,10.0,1,1.0,2,44200000.0,1.0,201450000.0,0.6,0.0,1.0,1.4,0.8,0.8,0.4,0.6
2,9.0,0,18.0,1,34675000.0,0.6,24825000.0,0.6,0.2222222222222222,0.0,0.4,0.2,0.0,0.2,0.0
3,2.0,1,20.0,1,193625000.0,1.0,7800000.0,1.0,1.5,0.05,0.8,0.8,0.2,0.6,0.2
1,5.0,0,3.0,1,31275000.0,1.0,98875000.0,0.4,0.2,0.0,0.8,0.8,0.6,0.4,0.2
2,14.0,0,11.0,1,33225000.0,0.4,29350000.0,0.6,0.1428571428571428,0.0,0.2,0.6,0.4,0.4,0.0
0,8.0,1,15.0,2,38625000.0,0.4,26750000.0,0.8,0.0,0.0666666666666666,0.4,0.2,0.0,0.0,0.0
1,13.0,1,18.0,0,25125000.0,0.6,20575000.0,0.6,0.0769230769230769,0.0555555555555555,0.0,0.4,0.0,0.2,0.0
4,16.0,0,5.0,1,24825000.0,0.6,31275000.0,0.8,0.25,0.0,0.6,0.6,0.0,0.2,0.0
2,19.0,3,9.0,2,26500000.0,0.6,44200000.0,1.0,0.1052631578947368,0.3333333333333333,0.6,0.4,0.2,0.0,0.2
1,10.0,0,4.0,1,20125000.0,0.4,138725000.0,0.2,0.1,0.0,1.6,0.2,0.6,0.2,0.4
2,1.0,1,11.0,1,201450000.0,0.6,34675000.0,0.4,2.0,0.0909090909090909,1.4,0.6,0.2,0.8,0.0
2,3.0,3,7.0,2,98875000.0,0.4,27925000.0,0.4,0.6666666666666666,0.4285714285714285,2.0,0.4,0.2,0.4,0.2
1,20.0,1,14.0,0,7800000.0,0.8,33225000.0,0.4,0.05,0.0714285714285714,0.0,0.2,0.2,0.2,0.0
2,2.0,1,17.0,1,193625000.0,1.0,22325000.0,0.4,1.0,0.0588235294117647,1.6,1.0,0.4,0.8,0.0
1,12.0,1,6.0,0,29350000.0,0.6,26975000.0,0.8,0.0833333333333333,0.1666666666666666,1.2,0.2,0.4,0.0,0.2
0,15.0,2,2.0,2,33225000.0,0.6,193625000.0,1.0,0.0,1.0,0.0,0.8,0.4,0.4,0.2
3,12.0,1,17.0,1,26750000.0,1.0,24825000.0,0.8,0.25,0.0588235294117647,0.6,0.0,0.0,0.2,0.0
0,11.0,0,10.0,0,34675000.0,0.4,20125000.0,0.2,0.0,0.0,0.6,0.4,0.4,0.4,0.2
0,7.0,2,1.0,2,26975000.0,0.8,201450000.0,0.8,0.0,2.0,1.0,0.4,1.0,0.4,0.6
0,5.0,0,19.0,0,31275000.0,1.0,26500000.0,0.4,0.0,0.0,1.2,0.8,0.0,0.4,0.0
2,8.0,0,20.0,1,44200000.0,1.0,7800000.0,0.8,0.25,0.0,0.6,0.6,0.2,0.6,0.2
1,18.0,1,13.0,0,22325000.0,0.6,29350000.0,0.6,0.0555555555555555,0.0769230769230769,0.4,0.0,0.2,0.0,0.0
2,16.0,1,9.0,1,20575000.0,0.8,38625000.0,0.6,0.125,0.1111111111111111,0.2,0.4,0.0,0.4,0.0
2,6.0,1,14.0,1,27925000.0,0.6,25125000.0,0.8,0.3333333333333333,0.0714285714285714,1.6,0.4,0.4,0.4,0.0
2,3.0,0,4.0,1,138725000.0,0.4,98875000.0,0.6,0.6666666666666666,0.0,1.8,0.2,0.6,0.4,0.2
1,10.0,3,5.0,2,38625000.0,0.6,27925000.0,0.6,0.1,0.6,0.4,0.2,0.4,0.0,0.2
2,1.0,0,8.0,1,193625000.0,1.0,44200000.0,0.6,2.0,0.0,2.2,1.0,0.4,1.0,0.2
2,16.0,0,18.0,1,24825000.0,1.0,20575000.0,0.6,0.125,0.0,0.2,0.6,0.0,0.2,0.0
1,9.0,0,6.0,1,20125000.0,0.8,31275000.0,1.0,0.1111111111111111,0.0,0.8,0.4,0.0,0.2,0.0
2,2.0,2,15.0,0,201450000.0,0.8,25125000.0,0.8,1.0,0.1333333333333333,1.8,0.6,0.2,0.8,0.0
1,20.0,3,17.0,2,7800000.0,1.0,22325000.0,0.8,0.05,0.1764705882352941,0.2,0.0,0.2,0.2,0.0
1,19.0,0,11.0,1,26500000.0,0.6,34675000.0,0.8,0.0526315789473684,0.0,0.6,0.4,0.2,0.0,0.0
0,12.0,0,4.0,0,29350000.0,0.6,138725000.0,1.0,0.0,0.0,0.4,0.2,0.4,0.0,0.2
2,13.0,0,7.0,1,33225000.0,0.8,26975000.0,1.0,0.1538461538461538,0.0,0.2,0.6,0.2,0.4,0.0
2,3.0,0,14.0,1,98875000.0,0.6,26750000.0,0.6,0.6666666666666666,0.0,0.8,0.2,0.2,0.0,0.2
1,5.0,1,16.0,0,27925000.0,1.0,24825000.0,1.0,0.2,0.0625,0.4,0.6,0.0,0.8,0.0
1,6.0,3,2.0,2,31275000.0,0.8,201450000.0,0.8,0.1666666666666666,1.5,0.2,0.6,1.0,0.2,0.6
2,7.0,2,20.0,0,26975000.0,1.0,7800000.0,0.6,0.2857142857142857,0.1,0.4,0.2,0.2,0.2,0.2
1,14.0,1,8.0,0,26750000.0,0.8,20125000.0,0.8,0.0714285714285714,0.125,0.2,0.2,0.2,0.4,0.0
1,17.0,1,12.0,0,22325000.0,0.6,33225000.0,0.6,0.0588235294117647,0.0833333333333333,0.2,0.0,0.2,0.2,0.0
0,18.0,2,3.0,2,20575000.0,0.6,98875000.0,1.0,0.0,0.6666666666666666,0.0,0.6,0.4,0.6,0.0
0,13.0,3,1.0,2,34675000.0,0.8,193625000.0,0.8,0.0,3.0,0.4,0.4,0.4,0.2,0.4
3,15.0,3,10.0,0,25125000.0,1.0,38625000.0,0.6,0.2,0.3,0.2,0.4,0.0,0.2,0.0
2,4.0,0,19.0,1,138725000.0,0.8,26500000.0,0.6,0.5,0.0,2.4,0.4,0.0,0.2,0.0
2,9.0,3,11.0,2,44200000.0,0.8,29350000.0,0.8,0.2222222222222222,0.2727272727272727,2.0,0.6,0.0,0.4,0.0
3,11.0,0,8.0,1,33225000.0,0.8,31275000.0,0.4,0.2727272727272727,0.0,0.2,0.8,0.0,0.4,0.0
2,18.0,0,16.0,1,26500000.0,0.8,26750000.0,1.0,0.1111111111111111,0.0,1.0,0.4,0.2,0.2,0.2
2,2.0,1,5.0,1,201450000.0,0.8,27925000.0,1.0,1.0,0.2,4.0,0.4,0.6,0.8,0.4
0,17.0,2,7.0,2,22325000.0,0.6,44200000.0,0.6,0.0,0.2857142857142857,0.6,0.0,0.4,0.2,0.2
3,10.0,2,15.0,1,29350000.0,0.8,34675000.0,0.8,0.3,0.1333333333333333,0.4,0.0,0.0,0.2,0.0
0,20.0,2,4.0,2,7800000.0,1.0,138725000.0,0.8,0.0,0.5,0.0,0.0,0.4,0.0,0.0
1,3.0,0,12.0,1,98875000.0,1.0,38625000.0,0.6,0.3333333333333333,0.0,0.8,0.4,0.0,0.4,0.0
4,6.0,1,19.0,1,20125000.0,0.8,20575000.0,0.8,0.6666666666666666,0.0526315789473684,0.4,0.6,0.0,0.4,0.0
1,14.0,1,13.0,0,24825000.0,1.0,25125000.0,0.8,0.0714285714285714,0.0769230769230769,0.2,0.6,0.0,0.4,0.0
2,1.0,1,9.0,1,193625000.0,0.8,26975000.0,0.8,2.0,0.1111111111111111,2.8,1.0,0.2,0.8,0.0
0,5.0,0,9.0,0,27925000.0,1.0,20125000.0,0.8,0.0,0.0,1.8,0.4,0.2,0.6,0.0
1,15.0,1,20.0,0,34675000.0,0.6,7800000.0,1.0,0.0666666666666666,0.05,0.4,0.4,0.2,0.0,0.0
0,17.0,2,2.0,2,26750000.0,0.8,201450000.0,1.0,0.0,1.0,0.0,0.2,1.0,0.4,0.6
3,7.0,0,11.0,1,31275000.0,1.0,29350000.0,0.6,0.4285714285714285,0.0,1.2,0.4,0.2,0.0,0.2
0,19.0,2,14.0,2,20575000.0,0.8,26500000.0,0.6,0.0,0.1428571428571428,0.2,0.6,0.0,0.2,0.0
0,4.0,1,1.0,2,138725000.0,0.6,193625000.0,1.0,0.0,1.0,1.8,0.6,0.6,0.6,0.4
1,6.0,0,12.0,1,44200000.0,1.0,33225000.0,0.6,0.1666666666666666,0.0,0.2,0.4,0.0,0.6,0.0
1,10.0,0,16.0,1,38625000.0,0.6,24825000.0,1.0,0.1,0.0,0.8,0.2,0.0,0.0,0.0
3,13.0,1,3.0,1,25125000.0,0.6,98875000.0,0.8,0.2307692307692307,0.3333333333333333,1.4,0.4,0.4,0.0,0.2
1,8.0,0,18.0,1,26975000.0,1.0,22325000.0,0.8,0.125,0.0,0.4,0.2,0.4,0.0,0.2
6,1.0,2,7.0,1,193625000.0,0.8,31275000.0,0.8,6.0,0.2857142857142857,1.8,1.0,0.0,0.8,0.0
5,3.0,1,18.0,1,98875000.0,0.6,24825000.0,1.0,1.6666666666666667,0.0555555555555555,1.0,0.6,0.0,0.6,0.0
2,14.0,2,10.0,0,26500000.0,0.6,38625000.0,0.8,0.1428571428571428,0.2,0.2,0.6,0.0,0.6,0.0
1,6.0,0,8.0,1,44200000.0,0.6,26975000.0,1.0,0.1666666666666666,0.0,2.4,0.6,0.2,0.6,0.0
1,9.0,2,12.0,2,20125000.0,0.8,25125000.0,0.6,0.1111111111111111,0.1666666666666666,1.2,0.6,0.0,0.4,0.0
2,11.0,1,16.0,1,33225000.0,1.0,34675000.0,0.6,0.1818181818181818,0.0625,0.2,0.8,0.0,0.4,0.0
1,13.0,1,17.0,0,29350000.0,0.8,26750000.0,1.0,0.0769230769230769,0.0588235294117647,1.0,0.2,0.2,0.4,0.0
4,2.0,1,19.0,1,201450000.0,0.8,20575000.0,0.8,2.0,0.0526315789473684,0.4,0.6,0.0,0.8,0.0
1,20.0,2,5.0,2,7800000.0,0.6,27925000.0,1.0,0.05,0.4,0.2,0.0,0.4,0.0,0.4
2,15.0,0,4.0,1,22325000.0,0.6,138725000.0,1.0,0.1333333333333333,0.0,0.6,0.0,0.4,0.2,0.2
1,19.0,0,20.0,1,20575000.0,1.0,7800000.0,0.8,0.0526315789473684,0.0,0.4,0.6,0.2,0.0,0.0
1,18.0,1,16.0,0,24825000.0,0.8,26500000.0,0.8,0.0555555555555555,0.0625,0.4,0.6,0.2,0.2,0.2
4,9.0,1,11.0,1,38625000.0,0.6,20125000.0,0.8,0.4444444444444444,0.0909090909090909,0.6,0.2,0.0,0.2,0.0
1,10.0,0,13.0,1,25125000.0,0.6,29350000.0,0.8,0.1,0.0,2.2,0.4,0.2,0.4,0.2
2,14.0,1,6.0,1,34675000.0,0.6,44200000.0,0.8,0.1428571428571428,0.1666666666666666,0.2,0.4,0.6,0.0,0.2
1,4.0,2,8.0,2,138725000.0,0.8,26975000.0,1.0,0.25,0.25,2.2,0.6,0.0,0.4,0.0
3,5.0,4,1.0,2,27925000.0,0.8,193625000.0,0.8,0.6,4.0,1.2,0.4,0.8,0.4,0.4
3,15.0,0,12.0,1,26750000.0,0.6,33225000.0,0.8,0.2,0.0,0.2,0.2,0.0,0.0,0.0
2,3.0,3,2.0,2,98875000.0,0.8,201450000.0,0.6,0.6666666666666666,1.5,1.0,0.6,1.0,0.8,0.4
3,7.0,1,17.0,1,31275000.0,1.0,22325000.0,0.8,0.4285714285714285,0.0588235294117647,0.6,0.6,0.2,0.2,0.2
1,8.0,1,14.0,0,26975000.0,0.8,34675000.0,1.0,0.125,0.0714285714285714,0.8,0.4,0.0,0.4,0.0
0,17.0,3,9.0,2,22325000.0,0.8,25125000.0,1.0,0.0,0.3333333333333333,0.6,0.2,0.2,0.2,0.2
1,1.0,0,15.0,1,193625000.0,0.8,26750000.0,0.8,1.0,0.0,1.0,1.0,0.2,0.8,0.0
0,20.0,4,6.0,2,7800000.0,0.8,31275000.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
1,10.0,0,18.0,1,20125000.0,0.6,24825000.0,0.4,0.1,0.0,0.6,0.6,0.0,0.2,0.0
0,13.0,2,5.0,2,29350000.0,0.4,27925000.0,0.8,0.0,0.4,2.2,0.2,0.6,0.4,0.2
1,16.0,3,3.0,2,26500000.0,0.6,98875000.0,0.8,0.0625,1.0,1.0,0.4,0.2,0.4,0.2
4,2.0,2,11.0,1,201450000.0,0.6,38625000.0,0.4,2.0,0.1818181818181818,0.6,0.6,0.0,1.0,0.0
0,12.0,0,19.0,0,33225000.0,1.0,20575000.0,0.6,0.0,0.0,0.0,0.8,0.0,0.4,0.0
1,7.0,1,4.0,0,44200000.0,1.0,138725000.0,0.8,0.1428571428571428,0.25,1.2,0.6,0.2,0.6,0.2
0,3.0,1,8.0,2,98875000.0,0.8,20125000.0,0.8,0.0,0.125,2.0,0.6,0.0,0.6,0.0
1,4.0,1,12.0,0,138725000.0,0.6,33225000.0,0.8,0.25,0.0833333333333333,0.2,0.4,0.0,0.2,0.0
0,7.0,2,15.0,2,27925000.0,1.0,26500000.0,1.0,0.0,0.1333333333333333,0.8,0.4,0.2,0.4,0.2
3,13.0,1,17.0,1,34675000.0,1.0,22325000.0,0.4,0.2307692307692307,0.0588235294117647,0.4,0.4,0.2,0.2,0.0
0,11.0,0,14.0,0,38625000.0,0.6,29350000.0,0.6,0.0,0.0,0.2,0.4,0.2,0.4,0.2
0,16.0,3,20.0,2,26750000.0,1.0,7800000.0,1.0,0.0,0.15,0.2,0.4,0.0,0.2,0.0
3,5.0,0,9.0,1,31275000.0,1.0,26975000.0,0.8,0.6,0.0,1.4,0.6,0.2,0.6,0.2
1,18.0,2,2.0,2,24825000.0,0.6,201450000.0,0.6,0.0555555555555555,1.0,0.0,0.4,1.0,0.0,0.6
2,19.0,3,6.0,2,20575000.0,0.8,44200000.0,0.8,0.1052631578947368,0.5,0.0,0.6,0.4,0.2,0.2
0,10.0,4,1.0,2,25125000.0,0.8,193625000.0,1.0,0.0,4.0,0.6,0.6,0.8,0.8,0.4
2,4.0,0,13.0,1,138725000.0,0.8,34675000.0,1.0,0.5,0.0,1.4,0.4,0.0,0.0,0.0
0,15.0,2,9.0,2,26500000.0,1.0,25125000.0,1.0,0.0,0.2222222222222222,1.2,0.4,0.4,0.4,0.4
1,14.0,2,3.0,2,29350000.0,0.8,98875000.0,0.6,0.0714285714285714,0.6666666666666666,0.8,0.2,0.4,0.0,0.2
1,12.0,1,11.0,0,33225000.0,0.8,38625000.0,1.0,0.0833333333333333,0.0909090909090909,0.2,0.6,0.0,0.2,0.0
1,20.0,2,17.0,2,7800000.0,1.0,24825000.0,1.0,0.05,0.1176470588235294,0.2,0.0,0.0,0.2,0.0
2,8.0,1,18.0,1,26975000.0,0.8,26750000.0,1.0,0.25,0.0555555555555555,0.6,0.4,0.2,0.4,0.0
2,16.0,0,7.0,1,22325000.0,0.6,27925000.0,0.8,0.125,0.0,0.8,0.2,0.8,0.2,0.4
2,5.0,0,6.0,1,44200000.0,0.8,31275000.0,0.8,0.4,0.0,2.2,0.6,0.2,0.6,0.2
4,1.0,1,19.0,1,193625000.0,1.0,20575000.0,0.6,4.0,0.0526315789473684,0.4,1.0,0.0,1.0,0.0
2,10.0,2,2.0,0,20125000.0,0.8,201450000.0,0.8,0.2,1.0,1.0,0.8,1.0,0.4,0.6
